startTime,endTime,aveH,aveV
3570217,3570443,871.299987792969,349.299987792969
3570457,3570653,907.299987792969,364.299987792969
3570663,3570901,928.700012207031,339.899993896484
3570915,3571501,903.700012207031,323.899993896484
3571783,3571889,800.099975585938,317.200012207031
3571903,3572731,947.099975585938,304
3572963,3573811,941.700012207031,231
3573821,3574569,932.799987792969,245.699996948242
3574589,3575331,861,233.899993896484
3575349,3575397,871.5,204.5
3575515,3575953,849,192.899993896484
3576223,3576805,860.200012207031,210.800003051758
3576813,3578191,873.599975585938,200.199996948242
3578461,3578651,860.5,271
3578671,3579081,830.599975585938,211.5
3579097,3579237,883.799987792969,241.699996948242
3579653,3579865,570.599975585938,287.299987792969
3579889,3580029,743.400024414063,300.399993896484
3580053,3580293,858.200012207031,308.899993896484
3580655,3581097,713.900024414063,283.299987792969
3581447,3581865,776.799987792969,203.199996948242
3582243,3582517,784.299987792969,292.200012207031
3582533,3582835,918.599975585938,333.200012207031
3582847,3583105,920.799987792969,287.100006103516
3583119,3583373,873.599975585938,234.899993896484
3583781,3584101,656.299987792969,241.199996948242
3584575,3584867,489,230.5
3584889,3585239,609.400024414063,314.799987792969
3585539,3585853,643.799987792969,291.399993896484
3585873,3586023,809.599975585938,275.700012207031
3586061,3586111,1131.69995117188,371.799987792969
3586155,3586337,1337.19995117188,637.900024414063
3586375,3586681,1061.5,448.799987792969
3586713,3587359,937.5,349.899993896484
3587381,3587769,858.599975585938,385
3588145,3588221,892.099975585938,396
3588239,3588525,887.599975585938,349
3588535,3589301,961.400024414063,282.399993896484
3589323,3589451,845.400024414063,455.100006103516
3589767,3591253,898.099975585938,300.899993896484
3591267,3591447,889.700012207031,401
3591463,3591673,944.400024414063,460.299987792969
3591683,3591791,896.599975585938,471.600006103516
3592067,3594001,909.700012207031,428.5
3594243,3594871,906.5,464.899993896484
3594889,3595447,878.299987792969,525.799987792969
3595461,3595573,906.599975585938,500.799987792969
3595923,3597133,902.700012207031,468.600006103516
3597777,3598079,113,86.4000015258789
3598089,3598313,204.300003051758,232.199996948242
3598629,3598909,703.799987792969,153.5
3599383,3599487,-143.600006103516,459
3599499,3599597,-264.5,494.799987792969
3599605,3599713,-288.399993896484,656.299987792969
3599907,3600105,336.100006103516,190.699996948242
3600211,3600403,1342.69995117188,1106.80004882813
3600443,3600725,1084.5,735.599975585938
3600759,3600875,962.5,418.399993896484
3600903,3601687,982.5,230.199996948242
3601953,3602383,927.099975585938,298.200012207031
3602405,3602547,835.400024414063,302.600006103516
3602885,3603127,936.299987792969,211.899993896484
3603153,3603361,885.700012207031,303.299987792969
3603403,3603575,753.099975585938,510.799987792969
3603603,3603771,899.799987792969,364.100006103516
3603787,3604147,922.700012207031,289.200012207031
3604489,3604527,749.799987792969,172.100006103516
3604541,3604843,867.200012207031,210.300003051758
3604883,3605047,1008.59997558594,423.600006103516
3605071,3605169,1103.5,502.799987792969
3605381,3605411,1116.09997558594,376.899993896484
3605425,3605551,977,317.600006103516
3605571,3605789,910.5,289.100006103516
3605803,3606295,900.400024414063,281.600006103516
3606543,3606743,845.200012207031,265.299987792969
3606761,3607141,937.200012207031,245.699996948242
3607201,3607259,843.200012207031,735.900024414063
3607325,3607377,909.400024414063,216.699996948242
3607385,3609561,965.700012207031,257.799987792969
3609791,3611565,908.599975585938,224.899993896484
3611583,3612703,930.299987792969,170.100006103516
3612967,3613613,930.200012207031,171.899993896484
3613827,3614167,926.200012207031,213.5
3614183,3614865,997.200012207031,181.5
3614881,3615077,947.599975585938,241.199996948242
3615461,3615623,869.799987792969,336.899993896484
3615709,3615819,1366,1124.30004882813
3615835,3616037,1241.5,1238.40002441406
3616103,3616209,791.900024414063,459.399993896484
3616235,3616409,879.200012207031,368
3616829,3617219,1010.70001220703,351.899993896484
3617267,3617299,743,682.599975585938
3617309,3617335,715.200012207031,765.799987792969
3618645,3618671,-392.600006103516,1226
3619807,3619857,-1149.19995117188,525.099975585938
3619867,3620137,-1099.80004882813,443
3620699,3621087,-55.9000015258789,302.399993896484
3621111,3621261,316.899993896484,270.399993896484
3621319,3621623,970.099975585938,268.200012207031
3621687,3621823,918.400024414063,1205.5
3621893,3621999,817.599975585938,389.700012207031
3622029,3622087,916.700012207031,246.5
