startTime,endTime,aveH,aveV
14583245,14583555,977.599975585938,624.5
14583567,14586213,942.299987792969,630.799987792969
14586227,14588713,904.900024414063,600.299987792969
14588743,14588947,950.099975585938,346.5
14588965,14589107,957.799987792969,319
14589245,14591711,947.700012207031,329.899993896484
14591847,14592799,947.700012207031,314.799987792969
14592917,14593097,968.5,307
14593105,14598949,938.299987792969,317
14598959,14600041,873.799987792969,260
14600049,14600127,895.799987792969,241.699996948242
14600147,14600509,872,242.800003051758
14600583,14600965,893.799987792969,703.5
14600993,14601079,891.599975585938,643.099975585938
14601105,14601169,914.900024414063,372.799987792969
14601203,14601389,939.200012207031,264.600006103516
14601421,14601973,895.599975585938,560.400024414063
14602005,14602839,957,278.399993896484
14602857,14604387,954.400024414063,345.5
14604411,14604979,921.599975585938,446.200012207031
14605019,14607345,964,300.399993896484
14607491,14607743,939.400024414063,376.5
14607751,14608823,962.5,350.200012207031
14608943,14609829,966.200012207031,336
14609891,14610055,168.199996948242,501.799987792969
14610111,14610291,1012,308
14610309,14610445,971.700012207031,322.399993896484
14610625,14611783,956,317.700012207031
14611799,14611905,996.799987792969,315.200012207031
14611921,14612565,965.900024414063,317.100006103516
14612579,14612713,932.200012207031,312.899993896484
14612843,14613763,969.5,335.299987792969
14613781,14614555,951.799987792969,313.399993896484
14614571,14614699,892.700012207031,367.200012207031
14614731,14615085,957.599975585938,305
14615215,14615995,941.099975585938,329.200012207031
14616005,14617599,926.700012207031,314.899993896484
14617607,14618415,953.299987792969,308.399993896484
14618449,14623197,974.599975585938,223.800003051758
14623205,14625385,980.099975585938,225.5
14625401,14625745,911.799987792969,298.899993896484
14625769,14626539,978.700012207031,314.299987792969
14626561,14626689,992.400024414063,307.299987792969
14626707,14627067,967.400024414063,314.700012207031
14627083,14627247,1003.09997558594,313.600006103516
14627257,14629269,990.099975585938,312.799987792969
14629285,14629579,1029.69995117188,265.600006103516
14629593,14629647,962.799987792969,270.799987792969
14629823,14630155,973.700012207031,302
14630291,14630383,1021.29998779297,250.5
14630409,14633211,976.799987792969,318
14633221,14633399,950.400024414063,314.899993896484
14633407,14634909,973.700012207031,313.899993896484
14635063,14635173,940.400024414063,315.200012207031
14635193,14635543,973.400024414063,304.700012207031
14635555,14635941,973.299987792969,268.600006103516
14635961,14636417,993.099975585938,234.699996948242
14636435,14637493,969.599975585938,212.199996948242
14637505,14638707,980.400024414063,217.5
14638717,14643191,953.200012207031,203.300003051758
14643209,14644731,943.599975585938,309.899993896484
